match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
829741,1,Rajasthan Royals,Kings XI Punjab,18,6,STR Binny,Sandeep Sharma,KK Nair,1,0,1,,0,,,
1136595,2,Chennai Super Kings,Royal Challengers Bangalore,3,4,SK Raina,TG Southee,AT Rayudu,2,0,2,,0,,,
1254112,1,Mumbai Indians,Delhi Capitals,14,3,KH Pandya,A Nortje,HH Pandya,0,0,0,,0,,,
392231,2,Kolkata Knight Riders,Chennai Super Kings,0,6,BB McCullum,JA Morkel,SC Ganguly,0,0,0,,0,,,
1136611,1,Royal Challengers Bangalore,Sunrisers Hyderabad,4,3,V Kohli,Rashid Khan,AB de Villiers,0,0,0,,0,,,
501198,2,Kolkata Knight Riders,Chennai Super Kings,14,4,MK Tiwary,JA Morkel,JH Kallis,1,0,1,,0,,,
1082636,2,Kolkata Knight Riders,Royal Challengers Bangalore,4,2,SP Narine,S Aravind,CA Lynn,4,0,4,,0,,,
1426272,2,Lucknow Super Giants,Chennai Super Kings,12,7,KL Rahul,M Pathirana,Q de Kock,0,0,0,,0,,,
733971,2,Kolkata Knight Riders,Chennai Super Kings,2,4,RV Uthappa,BW Hilfenhaus,JH Kallis,0,0,0,,0,,,
392209,1,Chennai Super Kings,Deccan Chargers,3,5,M Vijay,RP Singh,ML Hayden,0,0,0,,0,,,
1254075,1,Kolkata Knight Riders,Rajasthan Royals,6,1,N Rana,JD Unadkat,RA Tripathi,0,0,0,,0,,,
419135,2,Deccan Chargers,Kolkata Knight Riders,7,6,MD Mishra,M Kartik,HH Gibbs,1,0,1,,0,,,
981001,1,Kolkata Knight Riders,Gujarat Lions,7,5,YK Pathan,DJ Bravo,PP Chawla,0,0,0,,0,,,
598040,1,Kolkata Knight Riders,Delhi Daredevils,7,3,EJG Morgan,S Nadeem,JH Kallis,4,0,4,,0,,,
392215,2,Delhi Daredevils,Mumbai Indians,7,1,G Gambhir,Harbhajan Singh,DA Warner,1,0,1,,0,,,
1216523,2,Kings XI Punjab,Kolkata Knight Riders,9,1,KL Rahul,SP Narine,MA Agarwal,2,0,2,,0,,,
1178419,1,Mumbai Indians,Chennai Super Kings,11,2,RG Sharma,DJ Bravo,E Lewis,1,0,1,,0,,,
501269,1,Kolkata Knight Riders,Mumbai Indians,5,5,RN ten Doeschate,DS Kulkarni,YK Pathan,4,0,4,,0,,,
1359536,2,Sunrisers Hyderabad,Gujarat Titans,1,5,Abhishek Sharma,Yash Dayal,AK Markram,0,0,0,,1,Abhishek Sharma,caught,WP Saha
336020,1,Delhi Daredevils,Deccan Chargers,4,4,S Dhawan,DP Vijaykumar,G Gambhir,0,0,0,,0,,,
1254074,1,Mumbai Indians,Punjab Kings,3,4,Ishan Kishan,DJ Hooda,RG Sharma,0,0,0,,0,,,
1136615,1,Delhi Daredevils,Mumbai Indians,2,1,PP Shaw,HH Pandya,GJ Maxwell,0,0,0,,0,,,
1082635,2,Delhi Daredevils,Mumbai Indians,7,6,K Rabada,KV Sharma,PJ Cummins,0,0,0,,0,,,
1082592,2,Rising Pune Supergiant,Mumbai Indians,1,5,AM Rahane,HH Pandya,MA Agarwal,4,0,4,,0,,,
1304071,2,Sunrisers Hyderabad,Kolkata Knight Riders,11,5,RA Tripathi,PJ Cummins,AK Markram,0,0,0,,0,,,
1359503,2,Chennai Super Kings,Sunrisers Hyderabad,16,5,DP Conway,M Markande,AT Rayudu,1,0,1,,0,,,
1175356,2,Chennai Super Kings,Royal Challengers Bangalore,0,6,SR Watson,YS Chahal,AT Rayudu,0,0,0,,0,,,
1422126,2,Mumbai Indians,Sunrisers Hyderabad,9,5,Tilak Varma,Shahbaz Ahmed,Naman Dhir,6,0,6,,0,,,
980955,1,Kings XI Punjab,Gujarat Lions,15,5,WP Saha,JP Faulkner,DA Miller,1,0,1,,0,,,
980917,2,Gujarat Lions,Mumbai Indians,17,3,AJ Finch,JJ Bumrah,JP Faulkner,1,0,1,,0,,,
501214,1,Rajasthan Royals,Kolkata Knight Riders,4,4,AG Paunikar,Iqbal Abdulla,FY Fazal,0,0,0,,1,AG Paunikar,stumped,MS Bisla
1254108,1,Royal Challengers Bangalore,Mumbai Indians,1,4,D Padikkal,JJ Bumrah,V Kohli,0,0,0,,1,D Padikkal,caught,Q de Kock
1254108,1,Royal Challengers Bangalore,Mumbai Indians,6,2,KS Bharat,RD Chahar,V Kohli,0,0,0,,0,,,
1175361,1,Kolkata Knight Riders,Kings XI Punjab,3,6,RV Uthappa,GC Viljoen,N Rana,0,0,0,,0,,,
598014,1,Kings XI Punjab,Rajasthan Royals,14,3,Azhar Mahmood,SK Trivedi,PP Chawla,4,0,4,,0,,,
1136571,1,Rajasthan Royals,Royal Challengers Bangalore,16,1,SV Samson,CR Woakes,JC Buttler,0,0,0,,0,,,
392239,1,Deccan Chargers,Royal Challengers Bangalore,8,5,A Symonds,A Kumble,HH Gibbs,0,0,0,,1,A Symonds,bowled,
336019,2,Rajasthan Royals,Kings XI Punjab,19,1,Pankaj Singh,IK Pathan,M Rawat,1,0,1,,0,,,
